feature,importance
target_day,1023
oil_price,876
sales_dow_mean,858
target_month,797
onpromotion,636
store_avg_sales,495
store_code,472
store_family_avg,458
target_dayofweek,432
family_avg_sales,408
sales_roll28,390
family_code,364
cluster,273
sales_roll7,268
last_sales,263
sales_min7,242
sales_std7,235
sales_roll14,230
target_year,213
state_code,200
sales_max7,186
target_is_holiday,156
store_type_code,126
sales_lag_7,111
sales_lag_28,99
sales_lag_14,79
horizon,67
family_share,38
target_payday,14
target_is_weekend,8
target_days_since_holiday,0
target_days_to_holiday,0
